source,target,value
"Education Administrators, Elementary and Secondary School",Operations Analysis,2.12
"Education Administrators, Elementary and Secondary School",Technology Design,1.5
"Education Administrators, Elementary and Secondary School",Equipment Selection,1.25
"Education Administrators, Elementary and Secondary School",Installation,1
"Education Administrators, Elementary and Secondary School",Programming,1.75
"Education Administrators, Elementary and Secondary School",Operation Monitoring,1.75
"Education Administrators, Elementary and Secondary School",Operation and Control,1.25
"Education Administrators, Elementary and Secondary School",Equipment Maintenance,1
"Education Administrators, Elementary and Secondary School",Troubleshooting,1.62
"Education Administrators, Elementary and Secondary School",Repairing,1
"Education Administrators, Elementary and Secondary School",Quality Control Analysis,2.75
"Education Administrators, Elementary and Secondary School",Judgment and Decision Making,4.12
"Education Administrators, Elementary and Secondary School",Systems Analysis,3.38
"Education Administrators, Elementary and Secondary School",Systems Evaluation,3.62
"Education Administrators, Elementary and Secondary School",Time Management,3.5
"Education Administrators, Elementary and Secondary School",Management of Financial Resources,3.25
"Education Administrators, Elementary and Secondary School",Management of Material Resources,2.88
"Education Administrators, Elementary and Secondary School",Management of Personnel Resources,4
"Education Administrators, Postsecondary",Reading Comprehension,4.12
"Education Administrators, Postsecondary",Active Listening,4.12
"Education Administrators, Postsecondary",Writing,4
"Education Administrators, Postsecondary",Speaking,4.12
"Education Administrators, Postsecondary",Mathematics,2.88
"Education Administrators, Postsecondary",Science,1.38
"Education Administrators, Postsecondary",Critical Thinking,4.12
"Education Administrators, Postsecondary",Active Learning,3.75
"Education Administrators, Postsecondary",Learning Strategies,3.5
"Education Administrators, Postsecondary",Monitoring,4
"Education Administrators, Postsecondary",Social Perceptiveness,3.88
"Education Administrators, Postsecondary",Coordination,3.88
"Education Administrators, Postsecondary",Persuasion,3.5
"Education Administrators, Postsecondary",Negotiation,3.62
"Education Administrators, Postsecondary",Instructing,3.88
"Education Administrators, Postsecondary",Service Orientation,3.75
"Education Administrators, Postsecondary",Complex Problem Solving,3.88
"Education Administrators, Postsecondary",Operations Analysis,1.25
"Education Administrators, Postsecondary",Technology Design,1.5
"Education Administrators, Postsecondary",Equipment Selection,1
"Education Administrators, Postsecondary",Installation,1
"Education Administrators, Postsecondary",Programming,1.38
"Education Administrators, Postsecondary",Operation Monitoring,2
"Education Administrators, Postsecondary",Operation and Control,1
"Education Administrators, Postsecondary",Equipment Maintenance,1
"Education Administrators, Postsecondary",Troubleshooting,1
"Education Administrators, Postsecondary",Repairing,1
"Education Administrators, Postsecondary",Quality Control Analysis,1
"Education Administrators, Postsecondary",Judgment and Decision Making,4
"Education Administrators, Postsecondary",Systems Analysis,3.38
"Education Administrators, Postsecondary",Systems Evaluation,3.38
"Education Administrators, Postsecondary",Time Management,3.88
"Education Administrators, Postsecondary",Management of Financial Resources,3.12
"Education Administrators, Postsecondary",Management of Material Resources,2.88
"Education Administrators, Postsecondary",Management of Personnel Resources,3.75
Distance Learning Coordinators,Reading Comprehension,3.88
Distance Learning Coordinators,Active Listening,4
Distance Learning Coordinators,Writing,4
Distance Learning Coordinators,Speaking,4
Distance Learning Coordinators,Mathematics,2.62
Distance Learning Coordinators,Science,1.25
Distance Learning Coordinators,Critical Thinking,3.88
Distance Learning Coordinators,Active Learning,3.62
Distance Learning Coordinators,Learning Strategies,3.88
Distance Learning Coordinators,Monitoring,3.5
Distance Learning Coordinators,Social Perceptiveness,3.75
Distance Learning Coordinators,Coordination,3.75
Distance Learning Coordinators,Persuasion,3.5
Distance Learning Coordinators,Negotiation,3.25
Distance Learning Coordinators,Instructing,3.75
Distance Learning Coordinators,Service Orientation,3.38
Distance Learning Coordinators,Complex Problem Solving,3.5
Distance Learning Coordinators,Operations Analysis,2.38
Distance Learning Coordinators,Technology Design,1.88
Distance Learning Coordinators,Equipment Selection,1.62
Distance Learning Coordinators,Installation,1
Distance Learning Coordinators,Programming,1.88
Distance Learning Coordinators,Operation Monitoring,2.12
Distance Learning Coordinators,Operation and Control,1.25
Distance Learning Coordinators,Equipment Maintenance,1
Distance Learning Coordinators,Troubleshooting,2.38
Distance Learning Coordinators,Repairing,1
Distance Learning Coordinators,Quality Control Analysis,2.62
Distance Learning Coordinators,Judgment and Decision Making,3.62
Distance Learning Coordinators,Systems Analysis,3.5
Distance Learning Coordinators,Systems Evaluation,3.5
Distance Learning Coordinators,Time Management,3.38
Distance Learning Coordinators,Management of Financial Resources,2.75
Distance Learning Coordinators,Management of Material Resources,2.62
Distance Learning Coordinators,Management of Personnel Resources,3.25
Fitness and Wellness Coordinators,Reading Comprehension,3.75
Fitness and Wellness Coordinators,Active Listening,3.75
Fitness and Wellness Coordinators,Writing,3.5
Fitness and Wellness Coordinators,Speaking,3.88
Fitness and Wellness Coordinators,Mathematics,2.38
Fitness and Wellness Coordinators,Science,1.62
Fitness and Wellness Coordinators,Critical Thinking,3.88
Fitness and Wellness Coordinators,Active Learning,3.38
Fitness and Wellness Coordinators,Learning Strategies,3.25
Fitness and Wellness Coordinators,Monitoring,3.38
Fitness and Wellness Coordinators,Social Perceptiveness,3.88
Fitness and Wellness Coordinators,Coordination,3.88
Fitness and Wellness Coordinators,Persuasion,3.38
Fitness and Wellness Coordinators,Negotiation,3.12
Fitness and Wellness Coordinators,Instructing,3.25
Fitness and Wellness Coordinators,Service Orientation,3.5
Fitness and Wellness Coordinators,Complex Problem Solving,3.25
Fitness and Wellness Coordinators,Operations Analysis,1.62
Fitness and Wellness Coordinators,Technology Design,2
Fitness and Wellness Coordinators,Equipment Selection,1.75
Fitness and Wellness Coordinators,Installation,1
Fitness and Wellness Coordinators,Programming,1.75
Fitness and Wellness Coordinators,Operation Monitoring,2
Fitness and Wellness Coordinators,Operation and Control,1.5
Fitness and Wellness Coordinators,Equipment Maintenance,1.38
Fitness and Wellness Coordinators,Troubleshooting,1.88
Fitness and Wellness Coordinators,Repairing,1.12
Fitness and Wellness Coordinators,Quality Control Analysis,2.25
Fitness and Wellness Coordinators,Judgment and Decision Making,3.38
Fitness and Wellness Coordinators,Systems Analysis,3
Fitness and Wellness Coordinators,Systems Evaluation,2.88
Fitness and Wellness Coordinators,Time Management,3.12
Fitness and Wellness Coordinators,Management of Financial Resources,2.75
Fitness and Wellness Coordinators,Management of Material Resources,2.75
Fitness and Wellness Coordinators,Management of Personnel Resources,3.62
Architectural and Engineering Managers,Reading Comprehension,4.12
Architectural and Engineering Managers,Active Listening,3.88
Architectural and Engineering Managers,Writing,3.62
Architectural and Engineering Managers,Speaking,3.75
Architectural and Engineering Managers,Mathematics,3.62
Architectural and Engineering Managers,Science,2.38
Architectural and Engineering Managers,Critical Thinking,4
Architectural and Engineering Managers,Active Learning,3.5
Architectural and Engineering Managers,Learning Strategies,3.12
Architectural and Engineering Managers,Monitoring,3.62
Architectural and Engineering Managers,Social Perceptiveness,3.5
Architectural and Engineering Managers,Coordination,3.75
Architectural and Engineering Managers,Persuasion,3.38
Architectural and Engineering Managers,Negotiation,3.38
Architectural and Engineering Managers,Instructing,3.25
Architectural and Engineering Managers,Service Orientation,3
Architectural and Engineering Managers,Complex Problem Solving,3.75
Architectural and Engineering Managers,Operations Analysis,2.25
Architectural and Engineering Managers,Technology Design,1.88
Architectural and Engineering Managers,Equipment Selection,1.25
Architectural and Engineering Managers,Installation,1.12
Architectural and Engineering Managers,Programming,2
Architectural and Engineering Managers,Operation Monitoring,2.5
Architectural and Engineering Managers,Operation and Control,1.88
Architectural and Engineering Managers,Equipment Maintenance,1
Architectural and Engineering Managers,Troubleshooting,1.88
Architectural and Engineering Managers,Repairing,1.12
Architectural and Engineering Managers,Quality Control Analysis,2.88
Architectural and Engineering Managers,Judgment and Decision Making,3.75
Architectural and Engineering Managers,Systems Analysis,3.25
Architectural and Engineering Managers,Systems Evaluation,3.25
Architectural and Engineering Managers,Time Management,3.75
Architectural and Engineering Managers,Management of Financial Resources,3
Architectural and Engineering Managers,Management of Material Resources,3
Architectural and Engineering Managers,Management of Personnel Resources,3.12
Biofuels/Biodiesel Technology and Product Development Managers,Reading Comprehension,3.62
Biofuels/Biodiesel Technology and Product Development Managers,Active Listening,3.5
Biofuels/Biodiesel Technology and Product Development Managers,Writing,3.62
Biofuels/Biodiesel Technology and Product Development Managers,Speaking,3.62
Biofuels/Biodiesel Technology and Product Development Managers,Mathematics,3.12
Biofuels/Biodiesel Technology and Product Development Managers,Science,3.12
Biofuels/Biodiesel Technology and Product Development Managers,Critical Thinking,3.62
Biofuels/Biodiesel Technology and Product Development Managers,Active Learning,3.25
Biofuels/Biodiesel Technology and Product Development Managers,Learning Strategies,2.88
Biofuels/Biodiesel Technology and Product Development Managers,Monitoring,3.25
Biofuels/Biodiesel Technology and Product Development Managers,Social Perceptiveness,2.88
Biofuels/Biodiesel Technology and Product Development Managers,Coordination,3.25
Biofuels/Biodiesel Technology and Product Development Managers,Persuasion,3
Biofuels/Biodiesel Technology and Product Development Managers,Negotiation,2.88
Biofuels/Biodiesel Technology and Product Development Managers,Instructing,3
Biofuels/Biodiesel Technology and Product Development Managers,Service Orientation,2.88
Biofuels/Biodiesel Technology and Product Development Managers,Complex Problem Solving,3.62
Biofuels/Biodiesel Technology and Product Development Managers,Operations Analysis,2.38
Biofuels/Biodiesel Technology and Product Development Managers,Technology Design,2.12
Biofuels/Biodiesel Technology and Product Development Managers,Equipment Selection,2.25
Biofuels/Biodiesel Technology and Product Development Managers,Installation,1.12
Biofuels/Biodiesel Technology and Product Development Managers,Programming,2
Biofuels/Biodiesel Technology and Product Development Managers,Operation Monitoring,3
Biofuels/Biodiesel Technology and Product Development Managers,Operation and Control,2.25
Biofuels/Biodiesel Technology and Product Development Managers,Equipment Maintenance,1.75
Biofuels/Biodiesel Technology and Product Development Managers,Troubleshooting,2
Biofuels/Biodiesel Technology and Product Development Managers,Repairing,1.75
Biofuels/Biodiesel Technology and Product Development Managers,Quality Control Analysis,3.12
Biofuels/Biodiesel Technology and Product Development Managers,Judgment and Decision Making,3.62
Biofuels/Biodiesel Technology and Product Development Managers,Systems Analysis,3.62
Biofuels/Biodiesel Technology and Product Development Managers,Systems Evaluation,3.5
Biofuels/Biodiesel Technology and Product Development Managers,Time Management,3.25
Biofuels/Biodiesel Technology and Product Development Managers,Management of Financial Resources,2
Biofuels/Biodiesel Technology and Product Development Managers,Management of Material Resources,2
Biofuels/Biodiesel Technology and Product Development Managers,Management of Personnel Resources,3.12
Food Service Managers,Reading Comprehension,3.5
Food Service Managers,Active Listening,3.62
Food Service Managers,Writing,3.25
Food Service Managers,Speaking,3.88
Food Service Managers,Mathematics,2.75
Food Service Managers,Science,2.12
Food Service Managers,Critical Thinking,3.88
Food Service Managers,Active Learning,3.5
Food Service Managers,Learning Strategies,3.12
Food Service Managers,Monitoring,3.75
Food Service Managers,Social Perceptiveness,3.75
Food Service Managers,Coordination,3.88
Food Service Managers,Persuasion,3.38
Food Service Managers,Negotiation,3.25
Food Service Managers,Instructing,3.5
Food Service Managers,Service Orientation,4
Food Service Managers,Complex Problem Solving,3.12
Food Service Managers,Operations Analysis,3.38
Food Service Managers,Technology Design,1.5
Food Service Managers,Equipment Selection,2
Food Service Managers,Installation,1
Food Service Managers,Programming,1.38
Food Service Managers,Operation Monitoring,2.75
Food Service Managers,Operation and Control,2.25
Food Service Managers,Equipment Maintenance,2.12
Food Service Managers,Troubleshooting,2.25
Food Service Managers,Repairing,2
Food Service Managers,Quality Control Analysis,2.62
Food Service Managers,Judgment and Decision Making,3.38
Food Service Managers,Systems Analysis,2.88
Food Service Managers,Systems Evaluation,2.75
Food Service Managers,Time Management,3.75
Food Service Managers,Management of Financial Resources,2.88
Food Service Managers,Management of Material Resources,2.88
Food Service Managers,Management of Personnel Resources,3.75
Funeral Service Managers,Reading Comprehension,3.62
Funeral Service Managers,Active Listening,3.75
Funeral Service Managers,Writing,3.38
Funeral Service Managers,Speaking,3.75
Funeral Service Managers,Mathematics,2.38
Funeral Service Managers,Science,1.25
Funeral Service Managers,Critical Thinking,3.12
Funeral Service Managers,Active Learning,2.75
Funeral Service Managers,Learning Strategies,2.88
Funeral Service Managers,Monitoring,3.62
Funeral Service Managers,Social Perceptiveness,3.75
Funeral Service Managers,Coordination,3.5
Funeral Service Managers,Persuasion,3.38
Funeral Service Managers,Negotiation,3.38
Funeral Service Managers,Instructing,3
Funeral Service Managers,Service Orientation,4
Funeral Service Managers,Complex Problem Solving,3
Funeral Service Managers,Operations Analysis,1.38
Funeral Service Managers,Technology Design,1.62
Funeral Service Managers,Equipment Selection,1
Funeral Service Managers,Installation,1
Funeral Service Managers,Programming,1.5
Funeral Service Managers,Operation Monitoring,2.12
Funeral Service Managers,Operation and Control,1.88
Funeral Service Managers,Equipment Maintenance,1
Funeral Service Managers,Troubleshooting,1.75
Funeral Service Managers,Repairing,1
Funeral Service Managers,Quality Control Analysis,2
Funeral Service Managers,Judgment and Decision Making,3.12
Funeral Service Managers,Systems Analysis,2.5
Funeral Service Managers,Systems Evaluation,2.5
Funeral Service Managers,Time Management,3.62
Funeral Service Managers,Management of Financial Resources,2.5
Funeral Service Managers,Management of Material Resources,2.38
Funeral Service Managers,Management of Personnel Resources,3.38
Gaming Managers,Reading Comprehension,3.5
Gaming Managers,Active Listening,3.75
Gaming Managers,Writing,3.62
Gaming Managers,Speaking,4
Gaming Managers,Mathematics,3
Gaming Managers,Science,1.62
Gaming Managers,Critical Thinking,4
Gaming Managers,Active Learning,3.62
Gaming Managers,Learning Strategies,3.25
Gaming Managers,Monitoring,3.88
Gaming Managers,Social Perceptiveness,3.88
Gaming Managers,Coordination,4
Gaming Managers,Persuasion,3.62
Gaming Managers,Negotiation,3.38
Gaming Managers,Instructing,3.62
Gaming Managers,Service Orientation,3.75
Gaming Managers,Complex Problem Solving,3.5
Gaming Managers,Operations Analysis,2.12
Gaming Managers,Technology Design,1.38
Gaming Managers,Equipment Selection,1
Gaming Managers,Installation,1
Gaming Managers,Programming,1.62
Gaming Managers,Operation Monitoring,1.88
Gaming Managers,Operation and Control,1.12
Gaming Managers,Equipment Maintenance,1
Gaming Managers,Troubleshooting,1.62
Gaming Managers,Repairing,1
Gaming Managers,Quality Control Analysis,2.75
Gaming Managers,Judgment and Decision Making,3.75
Gaming Managers,Systems Analysis,3.12
Gaming Managers,Systems Evaluation,3
Gaming Managers,Time Management,3.75
Gaming Managers,Management of Financial Resources,2.88
Gaming Managers,Management of Material Resources,2.62
Gaming Managers,Management of Personnel Resources,4
Lodging Managers,Reading Comprehension,3.88
Lodging Managers,Active Listening,4.25
Lodging Managers,Writing,3.62
Lodging Managers,Speaking,4.12
Lodging Managers,Mathematics,3.25
Lodging Managers,Science,1
Lodging Managers,Critical Thinking,4.12
Lodging Managers,Active Learning,3.5
Lodging Managers,Learning Strategies,3.38
Lodging Managers,Monitoring,4
Lodging Managers,Social Perceptiveness,3.88
Lodging Managers,Coordination,4.25
Lodging Managers,Persuasion,3.62
Lodging Managers,Negotiation,3.62
Lodging Managers,Instructing,3.62
Lodging Managers,Service Orientation,4
Lodging Managers,Complex Problem Solving,3.75
Lodging Managers,Operations Analysis,1.62
Lodging Managers,Technology Design,1.5
Lodging Managers,Equipment Selection,2.12
Lodging Managers,Installation,1
Lodging Managers,Programming,1.5
Lodging Managers,Operation Monitoring,2.38
Lodging Managers,Operation and Control,2.38
Lodging Managers,Equipment Maintenance,2.12
Lodging Managers,Troubleshooting,2
Lodging Managers,Repairing,2
Lodging Managers,Quality Control Analysis,2.88
Lodging Managers,Judgment and Decision Making,3.88
Lodging Managers,Systems Analysis,3.38
Lodging Managers,Systems Evaluation,3.5
Lodging Managers,Time Management,4
Lodging Managers,Management of Financial Resources,3.38
Lodging Managers,Management of Material Resources,3.38
Lodging Managers,Management of Personnel Resources,4.12
Medical and Health Services Managers,Reading Comprehension,4.12
Medical and Health Services Managers,Active Listening,4
Medical and Health Services Managers,Writing,3.88
Medical and Health Services Managers,Speaking,4.12
Medical and Health Services Managers,Mathematics,2.75
Medical and Health Services Managers,Science,3
Medical and Health Services Managers,Critical Thinking,4
Medical and Health Services Managers,Active Learning,3.75
Medical and Health Services Managers,Learning Strategies,3.38
Medical and Health Services Managers,Monitoring,3.75
Medical and Health Services Managers,Social Perceptiveness,3.88
Medical and Health Services Managers,Coordination,3.88
Medical and Health Services Managers,Persuasion,3.62
Medical and Health Services Managers,Negotiation,3.62
Medical and Health Services Managers,Instructing,3.75
Medical and Health Services Managers,Service Orientation,3.62
Medical and Health Services Managers,Complex Problem Solving,3.75
Medical and Health Services Managers,Operations Analysis,3.62
Medical and Health Services Managers,Technology Design,1.5
Medical and Health Services Managers,Equipment Selection,1
Medical and Health Services Managers,Installation,1
Medical and Health Services Managers,Programming,1.38
Medical and Health Services Managers,Operation Monitoring,2.12
Medical and Health Services Managers,Operation and Control,1
Medical and Health Services Managers,Equipment Maintenance,1
Medical and Health Services Managers,Troubleshooting,1.75
Medical and Health Services Managers,Repairing,1
Medical and Health Services Managers,Quality Control Analysis,2.38
Medical and Health Services Managers,Judgment and Decision Making,4
Medical and Health Services Managers,Systems Analysis,3.75
Medical and Health Services Managers,Systems Evaluation,3.75
Medical and Health Services Managers,Time Management,3.88
Medical and Health Services Managers,Management of Financial Resources,3.38
Medical and Health Services Managers,Management of Material Resources,3
Medical and Health Services Managers,Management of Personnel Resources,3.88
Natural Sciences Managers,Reading Comprehension,4
Natural Sciences Managers,Active Listening,3.88
Natural Sciences Managers,Writing,4.12
Natural Sciences Managers,Speaking,4
Natural Sciences Managers,Mathematics,3.25
Natural Sciences Managers,Science,3.75
Natural Sciences Managers,Critical Thinking,3.88
Natural Sciences Managers,Active Learning,3.38
Natural Sciences Managers,Learning Strategies,3.25
Natural Sciences Managers,Monitoring,3.5
Natural Sciences Managers,Social Perceptiveness,3.38
Natural Sciences Managers,Coordination,3.38
Natural Sciences Managers,Persuasion,3
Natural Sciences Managers,Negotiation,2.88
Natural Sciences Managers,Instructing,3
Natural Sciences Managers,Service Orientation,2.88
Natural Sciences Managers,Complex Problem Solving,3.75
Natural Sciences Managers,Operations Analysis,3.25
Natural Sciences Managers,Technology Design,2.62
Natural Sciences Managers,Equipment Selection,1.12
Natural Sciences Managers,Installation,1
Natural Sciences Managers,Programming,1.88
Natural Sciences Managers,Operation Monitoring,1.88
Natural Sciences Managers,Operation and Control,1.75
Natural Sciences Managers,Equipment Maintenance,1
Natural Sciences Managers,Troubleshooting,1.5
Natural Sciences Managers,Repairing,1
Natural Sciences Managers,Quality Control Analysis,2.12
Natural Sciences Managers,Judgment and Decision Making,3.75
Natural Sciences Managers,Systems Analysis,3.12
Natural Sciences Managers,Systems Evaluation,3.25
Natural Sciences Managers,Time Management,3.38
Natural Sciences Managers,Management of Financial Resources,2.75
Natural Sciences Managers,Management of Material Resources,2.5
Natural Sciences Managers,Management of Personnel Resources,3.62
Clinical Research Coordinators,Reading Comprehension,4
Clinical Research Coordinators,Active Listening,4
Clinical Research Coordinators,Writing,4
Clinical Research Coordinators,Speaking,3.88
Clinical Research Coordinators,Mathematics,2.62
Clinical Research Coordinators,Science,2.75
Clinical Research Coordinators,Critical Thinking,3.75
Clinical Research Coordinators,Active Learning,3.5
Clinical Research Coordinators,Learning Strategies,3
Clinical Research Coordinators,Monitoring,3.62
Clinical Research Coordinators,Social Perceptiveness,3.5
Clinical Research Coordinators,Coordination,4
Clinical Research Coordinators,Persuasion,3.25
Clinical Research Coordinators,Negotiation,3.25
Clinical Research Coordinators,Instructing,3.25
Clinical Research Coordinators,Service Orientation,3.38
Clinical Research Coordinators,Complex Problem Solving,3.5
Clinical Research Coordinators,Operations Analysis,1.38
Clinical Research Coordinators,Technology Design,1.5
Clinical Research Coordinators,Equipment Selection,1
Clinical Research Coordinators,Installation,1
Clinical Research Coordinators,Programming,1.62
Clinical Research Coordinators,Operation Monitoring,1.88
Clinical Research Coordinators,Operation and Control,1
Clinical Research Coordinators,Equipment Maintenance,1
Clinical Research Coordinators,Troubleshooting,1.12
Clinical Research Coordinators,Repairing,1.12
Clinical Research Coordinators,Quality Control Analysis,1.38
Clinical Research Coordinators,Judgment and Decision Making,3.62
Clinical Research Coordinators,Systems Analysis,2.62
Clinical Research Coordinators,Systems Evaluation,2.88
Clinical Research Coordinators,Time Management,3.62
Clinical Research Coordinators,Management of Financial Resources,2.5
Clinical Research Coordinators,Management of Material Resources,2.88
Clinical Research Coordinators,Management of Personnel Resources,3.62
Water Resource Specialists,Reading Comprehension,4
Water Resource Specialists,Active Listening,3.88
Water Resource Specialists,Writing,3.75
Water Resource Specialists,Speaking,3.62
Water Resource Specialists,Mathematics,3.38
Water Resource Specialists,Science,2.88
Water Resource Specialists,Critical Thinking,3.75
Water Resource Specialists,Active Learning,3.25
Water Resource Specialists,Learning Strategies,2.75
Water Resource Specialists,Monitoring,3.38
Water Resource Specialists,Social Perceptiveness,3
Water Resource Specialists,Coordination,3.12
Water Resource Specialists,Persuasion,3
Water Resource Specialists,Negotiation,2.88
Water Resource Specialists,Instructing,3
Water Resource Specialists,Service Orientation,3
Water Resource Specialists,Complex Problem Solving,3.88
Water Resource Specialists,Operations Analysis,2.5
Water Resource Specialists,Technology Design,2
Water Resource Specialists,Equipment Selection,1.25
Water Resource Specialists,Installation,1
Water Resource Specialists,Programming,2
Water Resource Specialists,Operation Monitoring,2.88
Water Resource Specialists,Operation and Control,2.12
Water Resource Specialists,Equipment Maintenance,1
Water Resource Specialists,Troubleshooting,2.12
Water Resource Specialists,Repairing,1
Water Resource Specialists,Quality Control Analysis,2.88
Water Resource Specialists,Judgment and Decision Making,3.62
Water Resource Specialists,Systems Analysis,3.88
Water Resource Specialists,Systems Evaluation,3.75
Water Resource Specialists,Time Management,3.62
Water Resource Specialists,Management of Financial Resources,2.38
Water Resource Specialists,Management of Material Resources,2.38
Water Resource Specialists,Management of Personnel Resources,2.88
Postmasters and Mail Superintendents,Reading Comprehension,3.62
Postmasters and Mail Superintendents,Active Listening,3.88
Postmasters and Mail Superintendents,Writing,3.38
Postmasters and Mail Superintendents,Speaking,3.88
Postmasters and Mail Superintendents,Mathematics,2.75
Postmasters and Mail Superintendents,Science,1.62
Postmasters and Mail Superintendents,Critical Thinking,4
Postmasters and Mail Superintendents,Active Learning,3.25
Postmasters and Mail Superintendents,Learning Strategies,3.25
Postmasters and Mail Superintendents,Monitoring,3.75
Postmasters and Mail Superintendents,Social Perceptiveness,3.75
Postmasters and Mail Superintendents,Coordination,3.75
Postmasters and Mail Superintendents,Persuasion,3.25
Postmasters and Mail Superintendents,Negotiation,3.5
Postmasters and Mail Superintendents,Instructing,3
Postmasters and Mail Superintendents,Service Orientation,3.12
Postmasters and Mail Superintendents,Complex Problem Solving,3.25
Postmasters and Mail Superintendents,Operations Analysis,2.5
Postmasters and Mail Superintendents,Technology Design,1.62
Postmasters and Mail Superintendents,Equipment Selection,1.25
Postmasters and Mail Superintendents,Installation,1
Postmasters and Mail Superintendents,Programming,1.75
Postmasters and Mail Superintendents,Operation Monitoring,2.5
Postmasters and Mail Superintendents,Operation and Control,1.12
Postmasters and Mail Superintendents,Equipment Maintenance,1
Postmasters and Mail Superintendents,Troubleshooting,2
Postmasters and Mail Superintendents,Repairing,1
Postmasters and Mail Superintendents,Quality Control Analysis,2.25
Postmasters and Mail Superintendents,Judgment and Decision Making,3.25
Postmasters and Mail Superintendents,Systems Analysis,3
Postmasters and Mail Superintendents,Systems Evaluation,2.88
Postmasters and Mail Superintendents,Time Management,3.75
Postmasters and Mail Superintendents,Management of Financial Resources,2.62
Postmasters and Mail Superintendents,Management of Material Resources,2.62
Postmasters and Mail Superintendents,Management of Personnel Resources,3.62
"Property, Real Estate, and Community Association Managers",Reading Comprehension,3.75
"Property, Real Estate, and Community Association Managers",Active Listening,3.88
"Property, Real Estate, and Community Association Managers",Writing,3.5
"Property, Real Estate, and Community Association Managers",Speaking,4
"Property, Real Estate, and Community Association Managers",Mathematics,2.75
"Property, Real Estate, and Community Association Managers",Science,1.5
"Property, Real Estate, and Community Association Managers",Critical Thinking,3.5
"Property, Real Estate, and Community Association Managers",Active Learning,3
"Property, Real Estate, and Community Association Managers",Learning Strategies,2.88
"Property, Real Estate, and Community Association Managers",Monitoring,3
"Property, Real Estate, and Community Association Managers",Social Perceptiveness,3.5
"Property, Real Estate, and Community Association Managers",Coordination,3.88
"Property, Real Estate, and Community Association Managers",Persuasion,3.5
"Property, Real Estate, and Community Association Managers",Negotiation,3.62
"Property, Real Estate, and Community Association Managers",Instructing,2.88
"Property, Real Estate, and Community Association Managers",Service Orientation,3.12
"Property, Real Estate, and Community Association Managers",Complex Problem Solving,3
"Property, Real Estate, and Community Association Managers",Operations Analysis,2.5
"Property, Real Estate, and Community Association Managers",Technology Design,1.25
"Property, Real Estate, and Community Association Managers",Equipment Selection,1.25
"Property, Real Estate, and Community Association Managers",Installation,1
"Property, Real Estate, and Community Association Managers",Programming,1.5
"Property, Real Estate, and Community Association Managers",Operation Monitoring,1.75
"Property, Real Estate, and Community Association Managers",Operation and Control,1.5
"Property, Real Estate, and Community Association Managers",Equipment Maintenance,1.12
"Property, Real Estate, and Community Association Managers",Troubleshooting,1.62
"Property, Real Estate, and Community Association Managers",Repairing,1
"Property, Real Estate, and Community Association Managers",Quality Control Analysis,2.25
"Property, Real Estate, and Community Association Managers",Judgment and Decision Making,3.25
"Property, Real Estate, and Community Association Managers",Systems Analysis,2.12
"Property, Real Estate, and Community Association Managers",Systems Evaluation,2.25
"Property, Real Estate, and Community Association Managers",Time Management,3
"Property, Real Estate, and Community Association Managers",Management of Financial Resources,2.88
"Property, Real Estate, and Community Association Managers",Management of Material Resources,2.62
"Property, Real Estate, and Community Association Managers",Management of Personnel Resources,3.12
Social and Community Service Managers,Reading Comprehension,3.88
Social and Community Service Managers,Active Listening,4.25
Social and Community Service Managers,Writing,3.75
Social and Community Service Managers,Speaking,4.12
Social and Community Service Managers,Mathematics,3.12
Social and Community Service Managers,Science,2.5
Social and Community Service Managers,Critical Thinking,4
Social and Community Service Managers,Active Learning,3.62
Social and Community Service Managers,Learning Strategies,3.5
Social and Community Service Managers,Monitoring,3.88
Social and Community Service Managers,Social Perceptiveness,4
Social and Community Service Managers,Coordination,4
Social and Community Service Managers,Persuasion,3.38
Social and Community Service Managers,Negotiation,3.25
Social and Community Service Managers,Instructing,3.5
Social and Community Service Managers,Service Orientation,3.88
Social and Community Service Managers,Complex Problem Solving,3.75
Social and Community Service Managers,Operations Analysis,2.88
Social and Community Service Managers,Technology Design,1.62
Social and Community Service Managers,Equipment Selection,1
Social and Community Service Managers,Installation,1
Social and Community Service Managers,Programming,1.62
Social and Community Service Managers,Operation Monitoring,2
Social and Community Service Managers,Operation and Control,1.75
Social and Community Service Managers,Equipment Maintenance,1
Social and Community Service Managers,Troubleshooting,1
Social and Community Service Managers,Repairing,1
Social and Community Service Managers,Quality Control Analysis,1.88
Social and Community Service Managers,Judgment and Decision Making,4
Social and Community Service Managers,Systems Analysis,3.75
Social and Community Service Managers,Systems Evaluation,3.62
Social and Community Service Managers,Time Management,4.12
Social and Community Service Managers,Management of Financial Resources,3.25
Social and Community Service Managers,Management of Material Resources,3
Social and Community Service Managers,Management of Personnel Resources,4
Emergency Management Directors,Reading Comprehension,3.88
Emergency Management Directors,Active Listening,3.88
Emergency Management Directors,Writing,3.88
Emergency Management Directors,Speaking,4
Emergency Management Directors,Mathematics,2.88
Emergency Management Directors,Science,2
Emergency Management Directors,Critical Thinking,4
Emergency Management Directors,Active Learning,3.5
Emergency Management Directors,Learning Strategies,3.75
Emergency Management Directors,Monitoring,3.75
Emergency Management Directors,Social Perceptiveness,3.62
Emergency Management Directors,Coordination,4
Emergency Management Directors,Persuasion,3.5
Emergency Management Directors,Negotiation,3.5
Emergency Management Directors,Instructing,3.75
Emergency Management Directors,Service Orientation,4.12
