source,target,value
Marketing Managers,Instructing,3
Marketing Managers,Service Orientation,3.12
Marketing Managers,Complex Problem Solving,3.62
Marketing Managers,Operations Analysis,3.38
Marketing Managers,Technology Design,1.75
Marketing Managers,Equipment Selection,1
Marketing Managers,Installation,1
Marketing Managers,Programming,1.88
Marketing Managers,Operation Monitoring,1.75
Marketing Managers,Operation and Control,1
Marketing Managers,Equipment Maintenance,1
Marketing Managers,Troubleshooting,1
Marketing Managers,Repairing,1
Marketing Managers,Quality Control Analysis,1.88
Marketing Managers,Judgment and Decision Making,3.75
Marketing Managers,Systems Analysis,3.25
Marketing Managers,Systems Evaluation,3.5
Marketing Managers,Time Management,3.5
Marketing Managers,Management of Financial Resources,2.88
Marketing Managers,Management of Material Resources,2.62
Marketing Managers,Management of Personnel Resources,3.38
Sales Managers,Reading Comprehension,3.5
Sales Managers,Active Listening,4.12
Sales Managers,Writing,3.75
Sales Managers,Speaking,4.25
Sales Managers,Mathematics,3
Sales Managers,Science,1.5
Sales Managers,Critical Thinking,3.88
Sales Managers,Active Learning,3.62
Sales Managers,Learning Strategies,3.38
Sales Managers,Monitoring,3.88
Sales Managers,Social Perceptiveness,4.12
Sales Managers,Coordination,3.88
Sales Managers,Persuasion,4
Sales Managers,Negotiation,3.62
Sales Managers,Instructing,3.62
Sales Managers,Service Orientation,3.88
Sales Managers,Complex Problem Solving,3.62
Sales Managers,Operations Analysis,3
Sales Managers,Technology Design,1.75
Sales Managers,Equipment Selection,1
Sales Managers,Installation,1
Sales Managers,Programming,1.75
Sales Managers,Operation Monitoring,2.25
Sales Managers,Operation and Control,2.12
Sales Managers,Equipment Maintenance,1
Sales Managers,Troubleshooting,1
Sales Managers,Repairing,1
Sales Managers,Quality Control Analysis,1.88
Sales Managers,Judgment and Decision Making,3.75
Sales Managers,Systems Analysis,3.5
Sales Managers,Systems Evaluation,3.5
Sales Managers,Time Management,3.62
Sales Managers,Management of Financial Resources,2.88
Sales Managers,Management of Material Resources,2.62
Sales Managers,Management of Personnel Resources,3.75
Public Relations and Fundraising Managers,Reading Comprehension,4.12
Public Relations and Fundraising Managers,Active Listening,4.25
Public Relations and Fundraising Managers,Writing,4.12
Public Relations and Fundraising Managers,Speaking,4.38
Public Relations and Fundraising Managers,Mathematics,2.75
Public Relations and Fundraising Managers,Science,1.5
Public Relations and Fundraising Managers,Critical Thinking,3.75
Public Relations and Fundraising Managers,Active Learning,3.25
Public Relations and Fundraising Managers,Learning Strategies,2.75
Public Relations and Fundraising Managers,Monitoring,3.5
Public Relations and Fundraising Managers,Social Perceptiveness,4.12
Public Relations and Fundraising Managers,Coordination,3.75
Public Relations and Fundraising Managers,Persuasion,3.75
Public Relations and Fundraising Managers,Negotiation,3.38
Public Relations and Fundraising Managers,Instructing,3
Public Relations and Fundraising Managers,Service Orientation,3.38
Public Relations and Fundraising Managers,Complex Problem Solving,3.62
Public Relations and Fundraising Managers,Operations Analysis,2.62
Public Relations and Fundraising Managers,Technology Design,1.5
Public Relations and Fundraising Managers,Equipment Selection,1
Public Relations and Fundraising Managers,Installation,1
